id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_est,high_est,low_est
28799,IRQ-2012-3-1076-89,2012,True,Clear,3,1076,506,IS - Civilians,1076,973,IS - Civilians,1076,234,IS,9999,1,Civilians,-1,"Agence France Presse, 2012-12-31,  23 killed in wave of Iraq attacks",,,,Officials,2,Baghdād city,Baghdād city (south of),Baghdād province,,33.340582,44.400876,POINT (44.400876 33.340582),177569,Iraq,645,Middle East,1,1,12/31/2012 00:00:00,12/31/2012 00:00:00,0,0,1,0,1,1,0,
28812,IRQ-2012-3-1076-52,2012,True,Clear,3,1076,506,IS - Civilians,1076,973,IS - Civilians,1076,234,IS,9999,1,Civilians,-1,"Agence France Presse, 2012-09-09, Wave of attacks kills 88 in Iraq",,,,Interior ministry official and medic,1,Baghdād city,Baghdad city,Baghdād province,,33.340582,44.400876,POINT (44.400876 33.340582),177569,Iraq,645,Middle East,1,1,09/09/2012 00:00:00,09/09/2012 00:00:00,0,0,13,0,13,13,13,
28815,IRQ-2012-3-1076-37,2012,True,Clear,3,1076,506,IS - Civilians,1076,973,IS - Civilians,1076,234,IS,9999,1,Civilians,-1,"Agence France Presse, 2012-07-23, 111 killed in Iraq's deadliest day in two years",,,,Officials,4,Diyālá province,Diyālá province,Diyālá province,,34.000000,45.000000,POINT (45.000000 34.000000),179011,Iraq,645,Middle East,1,1,07/23/2012 00:00:00,07/23/2012 00:00:00,0,0,14,0,14,14,14,
28816,IRQ-2012-3-1076-90,2012,True,Clear,3,1076,506,IS - Civilians,1076,973,IS - Civilians,1076,234,IS,9999,1,Civilians,-1,"Agence France Presse, 2012-12-31,  23 killed in wave of Iraq attacks",,,,Security and medical officials,1,Baghdād city,Baghdad city,Baghdād province,,33.340582,44.400876,POINT (44.400876 33.340582),177569,Iraq,645,Middle East,1,1,12/31/2012 00:00:00,12/31/2012 00:00:00,0,0,4,0,4,4,4,
28822,IRQ-2012-3-1076-5,2012,True,Clear,3,1076,506,IS - Civilians,1076,973,IS - Civilians,1076,234,IS,9999,1,Civilians,-1,"Reuters News, 2012-02-23, Security developments in Iraq, Feb 23 //Reuters News, 2012-02-24, Iraqi al Qaeda claims country-wide attacks",,,,Police,1,Baghdād city,Baghdad city (Kadhimiya district),Baghdād province,,33.340582,44.400876,POINT (44.400876 33.340582),177569,Iraq,645,Middle East,1,1,02/23/2012 00:00:00,02/23/2012 00:00:00,0,0,6,0,6,6,6,
28823,IRQ-2012-3-1076-38,2012,True,Clear,3,1076,506,IS - Civilians,1076,973,IS - Civilians,1076,234,IS,9999,1,Civilians,-1,"Agence France Presse, 2012-07-23, 111 killed in Iraq's deadliest day in two years",,,,Medical officials,1,Ad Dīwānīyah town,Ad Dīwānīyah town,Al Qādisīyah province,Qaḑā’ ad Dīwānīyah,31.992886,44.925521,POINT (44.925521 31.992886),175410,Iraq,645,Middle East,1,1,07/23/2012 00:00:00,07/23/2012 00:00:00,0,0,3,0,3,3,3,
28824,IRQ-2012-3-1076-53,2012,True,Clear,3,1076,506,IS - Civilians,1076,973,IS - Civilians,1076,234,IS,9999,1,Civilians,-1,"Agence France Presse, 2012-09-09, Wave of attacks kills 88 in Iraq",,,,Interior ministry official and medic,1,Baghdād city,Baghdad city,Baghdād province,,33.340582,44.400876,POINT (44.400876 33.340582),177569,Iraq,645,Middle East,1,1,09/09/2012 00:00:00,09/09/2012 00:00:00,0,0,5,0,5,5,5,
28903,IRQ-2012-3-1076-54,2012,True,Clear,3,1076,506,IS - Civilians,1076,973,IS - Civilians,1076,234,IS,9999,1,Civilians,-1,"Agence France Presse, 2012-09-09, Wave of attacks kills 88 in Iraq",,,,Interior ministry official and medic,1,Baghdād city,Baghdad city,Baghdād province,,33.340582,44.400876,POINT (44.400876 33.340582),177569,Iraq,645,Middle East,1,1,09/09/2012 00:00:00,09/09/2012 00:00:00,0,0,4,0,4,4,4,
28904,IRQ-2012-3-1076-55,2012,True,Clear,3,1076,506,IS - Civilians,1076,973,IS - Civilians,1076,234,IS,9999,1,Civilians,-1,"Agence France Presse, 2012-09-09, Wave of attacks kills 88 in Iraq",,,,Interior ministry official and medic,1,Baghdād city,Baghdad city,Baghdād province,,33.340582,44.400876,POINT (44.400876 33.340582),177569,Iraq,645,Middle East,1,1,09/09/2012 00:00:00,09/09/2012 00:00:00,0,0,3,0,3,3,3,
28907,IRQ-2012-3-1076-6,2012,True,Clear,3,1076,506,IS - Civilians,1076,973,IS - Civilians,1076,234,IS,9999,1,Civilians,-1,"Reuters News, 2012-02-23, Security developments in Iraq, Feb 23 //Reuters News, 2012-02-24, Iraqi al Qaeda claims country-wide attacks",,,,Reuters,1,Baghdād city,Baghdad city (Doura district),Baghdād province,,33.340582,44.400876,POINT (44.400876 33.340582),177569,Iraq,645,Middle East,1,1,02/23/2012 00:00:00,02/23/2012 00:00:00,0,0,2,0,2,2,2,
